Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-20:13:09|IOT|00:be:75:09:d7:a7|-90dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~135.2m|178415968062|false|[ESS]
2022/09/04-20:13:09|Meeting-Room2|00:be:75:d0:e2:e1|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321495328|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:13:09|TEST_NTUHW|00:be:75:d0:e2:e4|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321495322|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|IOT|00:be:75:d0:e2:e5|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321495315|false|[ESS]
2022/09/04-20:13:09|BP|00:be:75:d0:e2:e6|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321495310|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|harris|00:be:75:d0:e2:e7|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321495305|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:13:09|ntu|00:be:75:d0:e2:e7|-83dBm|11|2462MHz|11|2462MHz|20MHz (2452 - 2472)|~136.8m|178321495377|false|[ESS]
2022/09/04-20:13:09|ntu|00:be:75:d0:e2:e8|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321495299|false|[ESS]
2022/09/04-20:13:09|iPortal|00:be:75:d0:e2:e9|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321495293|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:13:09|Crop|00:be:75:d0:e2:ea|-83dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~59.5m|178321495288|false|[WPA2-PSK-CCMP][ESS]
