Time Stamp|SSID|BSSID|Strength|Primary Channel|Primary Frequency|Center Channel|Center Frequency|Width (Range)|Distance|Timestamp|802.11mc|Security
2022/09/04-20:24:47|Meeting-Room2|00:be:75:09:d7:a4|-86dBm|116|5580MHz|118|5590MHz|40MHz (5570 - 5610)|~85.3m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|*hidden*|00:be:75:d0:e2:e0|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[ESS]
2022/09/04-20:24:47|Meeting-Room2|00:be:75:d0:e2:e1|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|TEST_NTUHW|00:be:75:d0:e2:e4|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|IOT|00:be:75:d0:e2:e5|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[ESS]
2022/09/04-20:24:47|BP|00:be:75:d0:e2:e6|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|harris|00:be:75:d0:e2:e7|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|ntu|00:be:75:d0:e2:e8|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[ESS]
2022/09/04-20:24:47|iPortal|00:be:75:d0:e2:e9|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|Crop|00:be:75:d0:e2:ea|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUHM|00:be:75:d0:e2:eb|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|wifiphone|00:be:75:d0:e2:ec|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[WPA2-PSK+FT/PSK-CCMP][ESS]
2022/09/04-20:24:47|WARD-N|00:be:75:d0:e2:ed|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|NTUHW|00:be:75:d0:e2:ee|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[WPA2-PSK-CCMP][ESS]
2022/09/04-20:24:47|iTaiwan|00:be:75:d0:e2:ef|-80dBm|132|5660MHz|134|5670MHz|40MHz (5650 - 5690)|~42.1m|179093519336|false|[ESS]
