wap1,wap2,wap3,wap4,wap5,wap6,wap7,wap8,wap9,wap10,wap11,wap12,wap13,wap14,wap15,wap16,wap17,wap18,wap19,wap20,wap21,wap22,wap23,wap24,wap25,wap26,wap27,wap28,wap29,wap30,wap31,wap32,wap33,wap34,wap35,wap36,wap37,wap38,wap39,wap40,wap41,wap42,wap43,wap44,wap45,wap46,wap47,wap48,wap49,wap50,wap51,wap52,wap53,wap54,wap55,wap56,wap57,wap58,wap59,wap60,wap61,wap62,wap63,wap64,wap65,wap66,wap67,wap68,wap69,wap70,wap71,wap72,wap73,wap74,wap75,wap76,wap77,wap78,wap79,wap80,wap81,wap82,wap83,wap84,wap85,wap86,wap87,wap88,wap89,wap90,wap91,wap92,wap93,wap94,wap95,wap96,wap97,wap98,wap99,wap100,wap101,wap102,wap103,wap104,wap105,wap106,wap107,wap108,wap109,wap110,wap111,wap112,wap113,wap114,wap115,wap116,wap117,wap118,wap119,wap120,wap121,wap122,wap123,wap124,wap125,wap126,wap127,wap128,wap129,wap130,wap131,wap132,wap133,wap134,wap135,wap136,wap137,wap138,wap139,wap140,wap141,wap142,wap143,wap144,wap145,wap146,wap147,wap148,wap149,wap150,wap151,wap152,wap153,wap154,wap155,wap156,wap157,wap158,wap159,wap160,wap161,wap162,wap163,wap164,wap165,wap166,wap167,wap168,lon,lat,FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION,USERID,PHONEID,TIMESTAMP
100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,100,-72,100,100,100,100,100,100,100,-85,-86,100,100,100,100,100,100,-43,-50,-56,-56,100,100,-67,-67,-79,100,-79,100,100,100,100,100,100,100,-78,-78,100,100,100,100,100,100,100,100,100,100,100,-62,-62,-68,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-79,-77,-87,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-88,-88,100,100,100,100,100,100,-83,-83,100,100,100,100,100,-68,-69,100,100,-57,-60,100,100,100,100,100,100,100,100,100,100,100,100,100,-65,-66,100,100,-67,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0,0,0,3,3,4,1475597265
100,100,100,100,-72,100,100,100,100,100,100,100,100,100,-80,100,100,100,100,100,-76,-77,100,100,100,100,100,100,-84,-84,-78,-77,100,100,100,100,-47,-49,-59,-60,100,100,-67,-67,-79,100,-79,100,100,100,100,100,100,100,-78,-78,100,100,100,100,100,100,100,100,100,100,100,-66,-66,-70,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,-74,-88,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-66,-88,-88,100,100,100,100,100,100,-82,-82,100,100,100,100,100,-68,-69,-88,-87,-57,-56,-78,-78,100,100,100,100,100,100,100,100,100,100,100,-70,-66,100,100,-70,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0,0,0,3,3,4,1475597267
100,100,100,100,-72,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,-68,-69,100,100,100,100,100,100,-84,-84,-78,-77,100,100,100,100,-50,-45,-61,-61,100,100,-67,-67,-83,100,-83,100,100,100,100,100,100,100,-78,-78,100,100,100,100,100,100,100,100,100,100,100,-62,-62,-68,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,-74,-88,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-67,-88,-88,100,100,100,100,100,-67,-81,-80,100,100,100,100,100,-68,-68,-88,-87,-56,-56,-78,-78,100,100,100,100,100,100,100,100,100,100,100,-67,-62,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0,0,0,3,3,4,1475597271
100,100,100,100,-72,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,-66,-69,100,100,100,100,100,100,-84,-84,-78,-77,100,100,100,100,-47,-46,-58,-58,100,100,-67,-67,-79,100,-79,100,100,100,100,100,100,100,-79,-80,100,100,100,100,100,-77,-76,100,100,100,100,-62,-62,-66,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-74,-74,-88,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-69,-68,-83,-83,100,100,100,100,-68,-67,-81,-80,100,100,100,100,100,-68,-68,-88,-87,-55,-55,-74,-74,100,100,100,100,100,100,100,100,100,100,100,-67,-66,100,100,-71,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0,0,0,3,3,4,1475597276
100,100,100,100,-72,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,-66,-65,100,100,100,100,100,100,-84,-84,-78,-79,100,100,100,100,-44,-49,-57,-57,100,100,-66,-66,-79,100,-79,100,100,100,100,100,100,100,-79,-80,100,100,100,100,100,-77,-76,100,100,100,100,-64,-63,-71,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-76,-88,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-69,-68,-82,-82,100,100,100,100,-68,-70,-81,-81,100,100,100,100,100,-69,-68,-88,-87,-55,-54,-75,-75,100,100,100,100,100,100,100,100,100,100,100,-64,-68,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0,0,0,3,3,4,1475597280
-81,100,100,100,100,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,-66,-65,100,-90,100,100,100,100,-85,-85,100,-79,100,100,100,100,-49,-49,-55,-55,100,100,-60,-61,-77,100,-77,100,100,100,100,100,100,100,-79,-80,100,100,100,100,100,-77,-78,100,100,100,100,-64,-63,-72,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-75,-76,-89,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-69,-68,-83,-82,100,100,100,100,-72,-71,-81,-81,100,100,100,100,100,-69,-68,-88,100,-55,-54,-74,-74,100,100,100,100,100,100,100,100,100,100,100,-66,-63,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,0.0,0.0,0,0,0,3,3,4,1475597284
-78,100,100,100,-66,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,-66,-69,100,-90,100,100,100,100,-85,-85,100,-79,100,100,100,100,-44,-44,-55,-55,100,100,-64,-64,-81,100,-81,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-78,100,100,100,100,-63,-63,-73,-74,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-76,-76,-89,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-71,-83,-82,100,100,100,100,-67,-66,-82,-82,100,-76,100,100,100,-71,-69,-88,100,-54,-56,-73,-73,100,100,100,100,100,100,100,100,100,100,100,-69,-56,100,100,-75,100,100,100,100,100,100,100,100,100,100,100,40.0,0.0,0,0,1,3,3,4,1475597293
-79,100,100,100,-66,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,-73,-72,100,-90,100,100,100,100,-85,-85,100,100,100,100,100,100,-46,-46,-55,-55,100,100,-66,-66,-77,100,-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-78,100,100,100,100,-62,-62,-68,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,-76,-89,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-71,-71,-88,-87,100,100,100,100,-69,-66,-79,-79,100,-76,100,100,100,-74,-69,100,100,-58,-54,-72,-73,100,100,100,100,100,100,100,100,100,100,100,-68,-56,100,100,-76,100,100,100,100,100,100,100,100,100,100,100,40.0,0.0,0,0,1,3,3,4,1475597295
-80,100,100,100,-66,100,100,100,100,100,100,100,100,100,-84,100,100,100,100,100,-73,-77,100,-90,100,100,100,100,-85,-85,100,100,100,100,100,100,-42,-43,-51,-52,100,100,-64,-64,-78,100,-78,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-77,-78,100,100,100,100,-64,-64,-70,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-80,-76,-89,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-72,-88,-86,100,100,100,100,-69,-66,-83,-83,100,-76,100,100,100,-74,-69,100,100,-56,-54,-67,-67,100,100,100,100,100,100,100,100,100,100,100,-64,-53,100,100,-79,100,100,100,100,100,100,100,100,100,100,100,40.0,0.0,0,0,1,3,3,4,1475597299
-79,100,100,100,-66,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-77,100,100,100,100,100,100,-85,-85,-84,100,100,100,100,100,-42,-39,-51,-52,100,100,-63,-63,-76,100,-76,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-64,-70,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-81,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-71,-87,-86,100,100,100,100,-71,-66,-79,-80,100,-76,100,100,100,-74,-69,100,100,-56,-54,-67,-67,100,100,100,100,100,100,100,100,100,100,100,-59,-52,100,100,-73,100,100,100,100,100,100,100,100,100,100,100,40.0,0.0,0,0,1,3,3,4,1475597303
